Race,race_id,batch_id,Batch Number,Datetime,baseline_dem_votes,baseline_total_votes,baseline_dem_proportion,this_batch_dem_votes,this_batch_total_votes,this_batch_dem_proportion,up_to_this_batch_dem_votes,up_to_this_batch_total_votes,up_to_this_batch_dem_proportion,up_to_this_batch_no_baseline_dem_votes,up_to_this_batch_no_baseline_total_votes,up_to_this_batch_no_baseline_dem_proportion,final_dem_votes,final_total_votes,final_dem_proportion
CD-3,3,15,17,2022-12-07,79188,168338,0.4704107212869346,866.0,1831.0,0.4729655925723648,156633,337889,0.4635634779468997,77445,169551,0.45676522108392165,156761,338199,0.46351704174169645
CD-3,3,16,18,2022-12-08,79188,168338,0.4704107212869346,128.0,310.0,0.4129032258064516,156761,338199,0.46351704174169645,77573,169861,0.4566851719935712,156761,338199,0.46351704174169645
CD-41,4,0,2,2022-11-15,78918,161902,0.4874430210868303,6808.0,15039.0,0.4526896735155263,85726,176941,0.4844891800091556,6808,15039,0.4526896735155263,112769,236638,0.476546454922709
CD-41,4,1,3,2022-11-16,78918,161902,0.4874430210868303,3543.0,8102.0,0.43729943223895335,89269,185043,0.4824230043827651,10351,23141,0.44730132664966943,112769,236638,0.476546454922709
CD-41,4,2,4,2022-11-17,78918,161902,0.4874430210868303,7044.0,13869.0,0.5078953060783041,96313,198912,0.4841990427927928,17395,37010,0.4700081059173196,112769,236638,0.476546454922709
CD-41,4,3,5,2022-11-18,78918,161902,0.4874430210868303,5832.0,12528.0,0.46551724137931033,102145,211440,0.48309213015512675,23227,49538,0.46887238079857885,112769,236638,0.476546454922709
CD-41,4,4,6,2022-11-21,78918,161902,0.4874430210868303,7846.0,18906.0,0.41500052893261397,109991,230346,0.477503407916786,31073,68444,0.4539915843609374,112769,236638,0.476546454922709
CD-41,4,5,7,2022-11-22,78918,161902,0.4874430210868303,1241.0,3007.0,0.4127036913867642,111232,233353,0.47666839509241365,32314,71451,0.45225399224643464,112769,236638,0.476546454922709
CD-41,4,6,8,2022-11-23,78918,161902,0.4874430210868303,0.0,0.0,,111232,233353,0.47666839509241365,32314,71451,0.45225399224643464,112769,236638,0.476546454922709
CD-41,4,7,9,2022-11-24,78918,161902,0.4874430210868303,747.0,1626.0,0.45940959409594095,111979,234979,0.47654896820566944,33061,73077,0.45241320798609685,112769,236638,0.476546454922709
CD-41,4,8,10,2022-11-28,78918,161902,0.4874430210868303,0.0,0.0,,111979,234979,0.47654896820566944,33061,73077,0.45241320798609685,112769,236638,0.476546454922709
CD-41,4,9,11,2022-11-29,78918,161902,0.4874430210868303,0.0,0.0,,111979,234979,0.47654896820566944,33061,73077,0.45241320798609685,112769,236638,0.476546454922709
CD-41,4,10,12,2022-11-30,78918,161902,0.4874430210868303,345.0,643.0,0.536547433903577,112324,235622,0.47671270085136364,33406,73720,0.4531470428648942,112769,236638,0.476546454922709
CD-41,4,11,13,2022-12-01,78918,161902,0.4874430210868303,0.0,0.0,,112324,235622,0.47671270085136364,33406,73720,0.4531470428648942,112769,236638,0.476546454922709
CD-41,4,12,14,2022-12-02,78918,161902,0.4874430210868303,445.0,1016.0,0.43799212598425197,112769,236638,0.476546454922709,33851,74736,0.4529410190537358,112769,236638,0.476546454922709
CD-45,5,0,2,2022-11-15,76252,164997,0.4621417359103499,6225.0,13594.0,0.4579226129174636,82477,178591,0.46182058446394275,6225,13594,0.4579226129174636,103466,217426,0.47586765152281696
CD-45,5,1,3,2022-11-16,76252,164997,0.4621417359103499,5009.0,10853.0,0.4615313738136921,87486,189444,0.4618040159625008,11234,24447,0.45952468605554875,103466,217426,0.47586765152281696
CD-45,5,2,4,2022-11-17,76252,164997,0.4621417359103499,6603.0,11426.0,0.5778925258183091,94089,200870,0.46840742768955046,17837,35873,0.49722632620633905,103466,217426,0.47586765152281696
CD-45,5,3,5,2022-11-18,76252,164997,0.4621417359103499,5403.0,9506.0,0.5683778666105618,99492,210376,0.47292466821310414,23240,45379,0.5121311619912294,103466,217426,0.47586765152281696
CD-45,5,4,6,2022-11-21,76252,164997,0.4621417359103499,2049.0,3225.0,0.6353488372093024,101541,213601,0.47537698793544975,25289,48604,0.5203069706197021,103466,217426,0.47586765152281696
CD-45,5,5,7,2022-11-22,76252,164997,0.4621417359103499,880.0,1687.0,0.5216360403082395,102421,215288,0.47573947456430454,26169,50291,0.5203515539559762,103466,217426,0.47586765152281696
CD-45,5,6,8,2022-11-23,76252,164997,0.4621417359103499,151.0,271.0,0.5571955719557196,102572,215559,0.4758418808771612,26320,50562,0.5205490289149954,103466,217426,0.47586765152281696
